2025-11-08 05:13:05.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02], Offset: 900, Limit: 100, Categories: [5070]
2025-11-08 05:13:07.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:13:10.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:13:12.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:13:14.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:13:16.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:13:18.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:13:20.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02], Offset: 300, Limit: 100, Categories: [5070]
2025-11-08 05:13:22.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:13:24.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:13:26.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:13:28.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:13:30.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 300, Limit: 100, Categories: [5070]
2025-11-08 05:13:32.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 400, Limit: 100, Categories: [5070]
2025-11-08 05:13:34.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 500, Limit: 100, Categories: [5070]
2025-11-08 05:13:36.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 600, Limit: 100, Categories: [5070]
2025-11-08 05:13:38.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 700, Limit: 100, Categories: [5070]
2025-11-08 05:13:40.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 800, Limit: 100, Categories: [5070]
2025-11-08 05:13:42.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen] for Season / Episode:[S02], Offset: 900, Limit: 100, Categories: [5070]
