2025-10-14 14:46:43.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:44.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:45.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E03], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:46.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E03], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:47.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[412374] TvMazeId:[59678] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:48.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[412374] TvMazeId:[59678] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:49.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[83277] TVRageId:[20118] TvMazeId:[7557] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:50.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[83277] TVRageId:[20118] TvMazeId:[7557] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:51.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Yofukashi no Uta S2] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:52.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Yofukashi no Uta S2] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:53.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:54.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:55.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Call of the Night Season 2] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:56.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Call of the Night Season 2] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:57.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:46:58.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:46:59.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:00.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:01.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Yofukashi no Uta Season 2] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:02.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Yofukashi no Uta Season 2] for Season / Episode:[S02E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:03.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E06], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:04.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E06], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:05.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:06.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:07.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:08.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:09.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[83277] TVRageId:[20118] TvMazeId:[7557] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:10.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[83277] TVRageId:[20118] TvMazeId:[7557] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:11.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E03], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:12.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E03], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:13.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:14.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:15.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:16.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E11], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:17.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-14 14:47:18.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-14 14:47:19.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[430518] TvMazeId:[66738] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
