2025-09-28 17:43:27.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 08], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:43:29.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 08], Offset: 500, Limit: 100, Categories: [5070]
2025-09-28 17:43:31.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 08], Offset: 600, Limit: 100, Categories: [5070]
2025-09-28 17:43:33.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 08], Offset: 700, Limit: 100, Categories: [5070]
2025-09-28 17:43:35.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 08], Offset: 800, Limit: 100, Categories: [5070]
2025-09-28 17:43:37.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 08], Offset: 900, Limit: 100, Categories: [5070]
2025-09-28 17:43:39.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E08], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:43:51.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [09] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:43:53.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [09] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:43:55.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [09] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:43:57.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [09] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:43:59.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E09], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:44:01.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 09], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:44:03.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 09], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:44:05.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 09], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:44:06.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): IMDbId:[21442114], Offset: 0, Limit: 100, Categories: [2000, 2010, 2020, 2030, 2040, 2045, 2050, 2060]
2025-09-28 17:44:07.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 09], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:44:10.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E09], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:44:15.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:44:17.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:44:19.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:44:21.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:44:23.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:44:25.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 500, Limit: 100, Categories: [5070]
2025-09-28 17:44:27.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [10] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 600, Limit: 100, Categories: [5070]
