2025-12-13 00:41:52.0|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S04], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:41:52.0|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=4&limit=100&offset=500
2025-12-13 00:41:52.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S04], Offset: 500, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-13 00:41:52.3|Debug|ReleaseSearchService|Total of 41 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S04], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:41:53.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S04], Offset: 600, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-12-13 00:41:53.9|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=4&limit=100&offset=600
2025-12-13 00:41:54.1|Debug|ReleaseSearchService|Total of 34 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S04], Offset: 600, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-13 00:41:55.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:41:55.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=0
2025-12-13 00:41:55.8|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:41:55.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-12-13 00:41:55.9|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=0
2025-12-13 00:41:56.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-13 00:41:57.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:41:57.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=100
2025-12-13 00:41:57.9|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 100, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:41:57.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-12-13 00:41:57.9|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=100
2025-12-13 00:41:58.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 100, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-13 00:41:59.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:41:59.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=200
2025-12-13 00:41:59.8|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 200, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:41:59.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 200, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-12-13 00:41:59.9|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=200
2025-12-13 00:42:00.1|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 200, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-13 00:42:01.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 300, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:42:01.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=300
2025-12-13 00:42:01.8|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 300, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:42:01.9|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 300, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-12-13 00:42:01.9|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=300
2025-12-13 00:42:02.1|Debug|ReleaseSearchService|Total of 98 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 300, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-12-13 00:42:03.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:42:03.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=400
2025-12-13 00:42:03.9|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:42:05.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:42:05.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=500
2025-12-13 00:42:05.9|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-12-13 00:42:07.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-12-13 00:42:07.5|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=296762&tvmazeid=1371&rid=37537&season=1&limit=100&offset=600
2025-12-13 00:42:07.8|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[296762] TVRageId:[37537] TvMazeId:[1371] for Season / Episode:[S01], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
