2025-10-26 22:44:37.7|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 400, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:44:39.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:44:39.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 500, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-10-26 22:44:39.4|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=2&limit=100&offset=500
2025-10-26 22:44:39.4|Debug|Newznab|Downloading Feed https://api.nzb.su/api?t=tvsearch&extended=1&cat=5070,5080,5020,5040,5050,5030,5060,5045,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=2&limit=100&offset=500
2025-10-26 22:44:39.5|Debug|ReleaseSearchService|Total of 0 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 500, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045] from 1 indexer(s)
2025-10-26 22:44:39.7|Debug|ReleaseSearchService|Total of 100 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 500, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:44:41.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:44:41.4|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=2&limit=100&offset=600
2025-10-26 22:44:41.7|Debug|ReleaseSearchService|Total of 51 reports were found for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S02], Offset: 600, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050] from 1 indexer(s)
2025-10-26 22:44:51.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[81189] TVRageId:[18164] TvMazeId:[169] for Season / Episode:[S03], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-10-26 22:44:51.2|Debug|Newznab|Downloading Feed https://api.nzbgeek.info/api?t=tvsearch&extended=1&cat=5020,5030,5040,5045,5050,5060,5070,5080,5000&apikey=(removed)&tvdbid=81189&tvmazeid=169&rid=18164&season=3&limit=100&offset=0
